Question #,Segment,Subsegment,Question,Question ID,Chart ID,Chart label,Chart style,Chart description
165,Production,Efficiency,How does production efficiency vary between weekday and weekend shifts?,production-how-does-production-efficiency-vary,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
166,Production,Efficiency,Which site produces the most units per labour hour?,production-which-site-produces-the-most,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
167,Production,Efficiency,What percentage of production is completed before the first customer rush?,production-what-percentage-of-production-is-2,labour-pct,Labour % of sales · vs target,Bullet chart,Actual vs target per site with threshold markers
168,Production,Efficiency,How does production efficiency change when a site is running below target staffing?,production-how-does-production-efficiency-change,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
169,Production,Efficiency,Which items have the highest production cost per unit when labour is factored in?,production-which-items-have-the-highest,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
170,Production,Efficiency,How many production runs are completed on time vs late across the network per week?,production-how-many-production-runs-are,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
171,Production,Efficiency,Which sites have the most consistent production output day to day?,production-which-sites-have-the-most-2,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
172,Production,Efficiency,What is the labour cost per unit produced for our top 10 products?,production-what-is-the-labour-cost,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
173,Production,Efficiency,How does batch size affect production efficiency across different site formats?,production-how-does-batch-size-affect,prod-avail-scatter,Production adherence × availability failures,Scatter plot,"Two variables per site, bubble size = third metric"
174,Production,Efficiency,Which items take the longest to produce and are they worth it based on margin?,production-which-items-take-the-longest,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
175,Production,Efficiency,How has production efficiency changed since the new production planning process was introduced?,production-how-has-production-efficiency-changed,trend,Revenue trend — last 12 weeks,Area chart,Single-metric area over time (12-week default)
176,Production,Efficiency,What is the ratio of production time to total shift length across each site?,production-what-is-the-ratio-of,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
177,Production,Efficiency,Which sites are re-producing items mid-shift most frequently?,production-which-sites-are-re-producing,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
178,Production,Efficiency,How does efficiency differ between experienced site managers and newer ones?,production-how-does-efficiency-differ-between,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
179,Production,Efficiency,What is the production output per team member during the morning prep window?,production-what-is-the-production-output,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
180,Production,Efficiency,Which products should we consider batch-producing centrally based on unit production time?,production-which-products-should-we-consider,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
